"id","ref_document","ref_user","ref_controller_group","release_count","origin","stage_position","type","dt_created","dt_ocurred","dt_due","info"
"9","5","463","0","1","1","0","15","2022-01-21 09:41:28.0","2022-01-21 09:41:53.0","",""
"10","5","463","0","1","1","0","0","2022-01-21 09:41:28.0","2022-01-21 09:42:12.0","",""
"11","5","463","0","2","1","0","1","2022-01-21 09:42:12.0","2022-01-21 09:42:12.0","2022-01-21",""
"12","5","0","0","2","2","0","5","2022-01-21 09:42:12.0","2022-01-21 09:42:12.0","",""
"13","6","463","0","1","1","0","15","2022-01-21 09:45:16.0","2022-01-21 09:45:23.0","",""
"14","6","463","0","1","1","0","0","2022-01-21 09:45:16.0","2022-01-21 09:45:54.0","",""
"15","6","463","0","2","1","0","1","2022-01-21 09:45:54.0","2022-01-21 09:45:54.0","2022-01-21",""
"16","6","0","0","2","2","0","5","2022-01-21 09:45:54.0","2022-01-21 09:45:54.0","",""
"17","7","463","0","1","1","0","16","2022-01-26 09:50:59.0","2022-01-26 09:58:27.0","",""
"18","7","312","0","1","1","0","0","2022-01-26 09:50:59.0","2022-01-26 09:52:09.0","",""
"19","7","463","0","2","1","0","1","2022-01-26 09:58:27.0","2022-01-26 09:58:27.0","2022-01-26",""
"20","7","454","0","2","1","1","3","2022-01-26 09:58:27.0","2022-01-26 10:03:04.0","2022-01-26","Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas Pruebas "
"21","7","0","0","2","2","0","5","2022-01-26 10:03:04.0","2022-01-26 10:03:04.0","",""
"22","9","463","0","1","1","0","16","2022-01-26 10:14:22.0","2022-01-26 10:20:22.0","",""
"23","9","458","0","1","1","0","0","2022-01-26 10:14:22.0","2022-01-26 10:19:35.0","",""
"24","9","463","0","1","1","1","6","2022-01-26 10:15:49.0","2022-01-26 10:15:56.0","","falta codigo"
"25","9","463","0","2","1","0","1","2022-01-26 10:20:22.0","2022-01-26 10:20:22.0","2022-01-26",""
"27","9","454","0","2","1","1","6","2022-01-26 10:21:05.0","2022-01-26 10:21:17.0","","faltan SLA's"
