"ref_audit","ref_process","ref_control","score","state","justification","id","dt_registered","ref_owner","rev"
"0","24","11","23","0","","1","","0","0"
"0","24","12","9","0","","2","","0","0"
"0","31","14","8","0","","3","","0","0"
"0","33","16","100","0","","4","","0","0"
"0","33","17","100","0","","5","","0","0"
"0","33","18","100","0","","6","","0","0"
"0","33","19","100","0","","7","","0","0"
"0","33","20","100","0","","8","","0","0"
"0","33","21","100","0","","9","","0","0"
"0","33","22","100","0","","10","","0","0"
"0","33","23","100","0","","11","","0","0"
"0","33","26","100","0","","12","","0","0"
"0","33","55","100","0","","13","","0","0"
"0","35","41","100","0","","14","","0","0"
"0","37","16","100","0","","15","","0","0"
"0","39","16","100","0","","16","","0","0"
"0","39","17","100","0","","17","","0","0"
"0","39","20","100","0","","18","","0","0"
"0","39","25","100","0","","19","","0","0"
"0","39","29","100","0","","20","","0","0"
"0","39","45","100","0","","21","","0","0"
"0","39","49","100","0","","22","","0","0"
"0","41","53","100","0","","23","","0","0"
"0","43","16","100","0","","24","","0","0"
"0","43","17","100","0","","25","","0","0"
"0","43","20","100","0","","26","","0","0"
"0","43","42","100","0","","27","","0","0"
"0","45","55","100","0","","28","","0","0"
"0","47","16","100","0","","29","","0","0"
"0","47","20","100","0","","30","","0","0"
"0","47","22","100","0","","31","","0","0"
"0","47","25","100","0","","32","","0","0"
"0","47","29","100","0","","33","","0","0"
"0","47","30","100","0","","34","","0","0"
"0","47","31","100","0","","35","","0","0"
"0","47","32","100","0","","36","","0","0"
"0","47","39","100","0","","37","","0","0"
"0","49","16","100","0","","38","","0","0"
"0","49","54","100","0","","39","","0","0"
"0","49","55","100","0","","40","","0","0"
"0","51","16","100","0","","41","","0","0"
"0","51","20","100","0","","42","","0","0"
"0","51","22","100","0","","43","","0","0"
"0","51","38","100","0","","44","","0","0"
"0","51","39","100","0","","45","","0","0"
"0","53","16","100","0","","46","","0","0"
"0","53","17","100","0","","47","","0","0"
"0","53","22","100","0","","48","","0","0"
"0","53","29","100","0","","49","","0","0"
"0","53","31","100","0","","50","","0","0"
"0","53","35","100","0","","51","","0","0"
"0","53","55","100","0","","52","","0","0"
"0","55","16","100","0","","53","","0","0"
"0","57","16","100","0","","54","","0","0"
"0","57","49","100","0","","55","","0","0"
"0","59","20","100","0","","56","","0","0"
"0","59","31","100","0","","57","","0","0"
"0","59","42","100","0","","58","","0","0"
"0","59","44","100","0","","59","","0","0"
"0","59","55","100","0","","60","","0","0"
"0","61","16","100","0","","61","","0","0"
"0","61","17","100","0","","62","","0","0"
"0","61","20","100","0","","63","","0","0"
"0","61","25","100","0","","64","","0","0"
"0","61","29","100","0","","65","","0","0"
"0","61","45","100","0","","66","","0","0"
"0","61","49","100","0","","67","","0","0"
"0","63","16","100","0","","68","","0","0"
"0","63","17","100","0","","69","","0","0"
"0","63","18","100","0","","70","","0","0"
"0","63","19","100","0","","71","","0","0"
"0","63","20","100","0","","72","","0","0"
"0","63","21","100","0","","73","","0","0"
"0","63","22","100","0","","74","","0","0"
"0","63","23","100","0","","75","","0","0"
"0","63","26","100","0","","76","","0","0"
"0","65","19","100","0","","77","","0","0"
"0","65","20","65","0","","78","","0","0"
"0","65","26","100","0","","79","","0","0"
"0","67","57","79","0","","80","","0","0"
"0","67","58","85","0","","81","","0","0"
"0","67","60","100","0","","82","","0","0"
"0","67","63","100","0","","83","","0","0"
"0","67","64","100","0","","84","","0","0"
"0","67","67","100","0","","85","","0","0"
"0","67","68","100","0","","86","","0","0"
"0","67","69","100","0","","87","","0","0"
"0","67","70","100","0","","88","","0","0"
"0","67","72","100","0","","89","","0","0"
"0","67","73","100","0","","90","","0","0"
"0","67","74","100","0","","91","","0","0"
"0","67","75","100","0","","92","","0","0"
"0","67","85","100","0","","93","","0","0"
"0","67","88","100","0","","94","","0","0"
"0","69","56","30","0","","95","","0","0"
"0","69","57","87","0","","96","","0","0"
"0","69","58","95","0","","97","","0","0"
"0","69","77","100","0","","98","","0","0"
"0","71","56","100","0","","99","","0","0"
"0","71","59","100","0","","100","","0","0"
"0","71","77","100","0","","101","","0","0"
"0","71","78","100","0","","102","","0","0"
"0","71","79","100","0","","103","","0","0"
"0","71","80","100","0","","104","","0","0"
"0","71","81","100","0","","105","","0","0"
"0","71","82","100","0","","106","","0","0"
"0","71","83","100","0","","107","","0","0"
"0","71","84","100","0","","108","","0","0"
"0","71","85","100","0","","109","","0","0"
"0","71","86","100","0","","110","","0","0"
"0","71","87","100","0","","111","","0","0"
"0","73","89","90","0","","112","","0","0"
"0","74","16","100","0","","113","","0","0"
"0","74","18","100","0","","114","","0","0"
"0","82","21","100","0","","115","","0","0"
"0","82","28","100","0","","116","","0","0"
"0","82","92","65","0","","117","","0","0"
"0","84","91","47","0","","118","","0","0"
