"id","ref_audit","ref_process","ref_risk","ref_impact_level","ref_category","ref_revision","impact","loss","weight","title","info","rev"
"61","3","15","50","1","2","0","4","0","1","Impacto inicial","","0"
"62","3","15","51","2","4","0","2.5","0","1","Impacto inicial","Afecta de gran forma el buen nombre de la empresa. Requiere de recursos jurídicos, económicos, materiales.","0"
"63","3","15","52","2","4","0","2.5","0","1","Impacto inicial",".Afecta de gran forma el buen nombre de la empresa. Requiere de recursos jurídicos, económicos, materiales","0"
"70","4","15","50","1","2","0","4","0","1","Impacto inicial","","0"
"71","4","15","51","2","4","0","2.5","0","1","Impacto inicial","Afecta de gran forma el buen nombre de la empresa. Requiere de recursos jurídicos, económicos, materiales.","0"
"72","4","15","52","2","4","0","2.5","0","1","Impacto inicial",".Afecta de gran forma el buen nombre de la empresa. Requiere de recursos jurídicos, económicos, materiales","0"
"81","6","15","50","1","2","0","4","0","1","Impacto inicial","","0"
"82","6","15","51","2","4","0","2.5","0","1","Impacto inicial","Afecta de gran forma el buen nombre de la empresa. Requiere de recursos jurídicos, económicos, materiales.","0"
"83","6","15","52","2","4","0","2.5","0","1","Impacto inicial",".Afecta de gran forma el buen nombre de la empresa. Requiere de recursos jurídicos, económicos, materiales","0"
"97","-1","24","49","1","2","73","4","0","1","Impacto inicial","","0"
"99","-1","24","48","1","2","76","4","0","1","Impacto inicial","","0"
"100","-1","24","49","3","4","74","1.5","0","1","Impacto inicial","Posibilidad de transmitir idea errada a la comunidad.","0"
"101","-1","24","49","2","4","75","2.5","0","1","Impacto inicial","Posibilidad de transmitir idea/información errada a la comunidad.","0"
"102","-1","24","49","2","4","0","2.5","0","1","Impacto inicial","Posibilidad de transmitir idea/información errada a la comunidad.","0"
"103","-1","24","48","3","4","0","1.5","0","1","Impacto inicial","Puede ser transmitido al cliente la idea de que nuestra organización no tiene controles internos en finanzas.","0"
"104","8","24","49","2","4","0","2.5","0","1","Impacto inicial","Posibilidad de transmitir idea/información errada a la comunidad.","0"
"105","8","24","48","3","4","0","1.5","0","1","Impacto inicial","Puede ser transmitido al cliente la idea de que nuestra organización no tiene controles internos en finanzas.","0"
"125","-1","28","56","1","2","121","4","0","1","Impacto inicial","","0"
"135","-1","29","57","1","2","120","4","0","1","Impacto inicial","","0"
"137","-1","31","59","1","2","118","4","0","1","Impacto inicial","","0"
"139","-1","30","58","1","2","119","4","0","1","Impacto inicial","","0"
"140","0","31","59","1","2","0","4","0","1","Impacto inicial","","0"
"141","-1","31","59","3","3","0","1.5","0","1","Impacto inicial","Riesgo a los Cambios de la Industria Bancaria","0"
"142","0","30","58","1","2","0","4","0","1","Impacto inicial","","0"
"143","-1","30","58","3","4","0","1.5","0","1","Impacto inicial","Riesgo de Cumplimiento Normativo en el Ámbito Tributario","0"
"144","0","29","57","1","2","0","4","0","1","Impacto inicial","","0"
